id,revision,category,date,title,place,region,summary,source,sourceUrl,archivedAt
news-b3029dfd9e4e7f3c,31006727c4ba2fbc,news,2026-09-24,"Биолог рассказал, когда медведи уйдут в спячку",,,Медведи в Сибири и на Дальнем Востоке в 2026 году залягут в спячку только в ноябре или даже декабре. Для этого нужны минусовая температура и устойчивый снежный покров.,Алтапресс,https://altapress.ru/story/biolog-rasskazal-kogda-medvedi-uydut-v-spyachku-394711,2026-09-24T18:54:30+00:00
news-5dba1235627c88f4,3651d819559fb584,news,2026-09-24,Медведи умеют открывать двери и передают этот опыт детям. Новые подробности о косолапых,,,"Медведи способны усваивать и переносить на новые ситуации алгоритмы поиска пищи, а уровень их интеллекта сопоставим с возможностями приматов.",Алтапресс,https://altapress.ru/story/medvedi-umeyut-otkrivat-dveri-i-peredayut-etot-opit-detyam-novie-podrobnosti-o-kosolapih-394701,2026-09-24T18:54:30+00:00
news-7ed5588e72e8c592,f492fc89efefd716,news,2026-09-24,Опасный кайф у мусорных баков: сочинские медведи забыли про осеннюю спячку,,,"Почему медведи в Сочи стали опаснее для человека и когда ожидать их ухода в спячку. Узнайте, как избежать встречи с хищником в горах и почему привычка к еде туристов ...",Правда.Ру,https://www.pravda.ru/news/districts/2414779-sochi-bears-danger/,2026-09-24T18:54:30+00:00
news-2960d20dd358b912,a9e7486cf947204e,news,2026-09-24,"Медведи нападают по всей России: сколько было жертв к 24 сентября, кто виноват?",,,"Медведи нападают на людей по всей России. Где были новые жертвы, сколько людей погибло к 24 сентября, кого обвиняет СК РФ, когда это закончится?",NEWS.ru,https://news.ru/society/medvedi-napadayut-po-vsej-rossii-skolko-bylo-zhertv-k-24-sentyabrya-kto-vinovat,2026-09-24T18:54:30+00:00
news-817cfe48d2ec180e,f53dcab5fc234eac,news,2026-09-24,Медведи могут зайти в дома омичей,,,Хищники способны запоминать сложные алгоритмы действий и передавать преступные навыки своим детенышам. Фото создано при помощи ИИ По уровню умственного развития медведи вполне сопоставимы с высшими об ...,Омск-информ,https://omskinform.ru/news/227602,2026-09-24T18:54:30+00:00
news-3b77fe2cdf6fc790,ce8f2a12d0820930,news,2026-09-24,"Пора в берлогу. Ученый рассказал, когда медведи уснут на зиму",,,"Медведи в Сибири и на Дальнем Востоке в 2026 году могут уйти в спячку только в ноябре или даже декабре. Главными условиями для этого станут устойчивая минусовая температура и снежный покров, рассказал ...",ИА Амител,https://www.amic.ru/news/pora-v-berlogu-uchenyy-rasskazal-kogda-medvedi-usnut-na-zimu-593061,2026-09-24T18:54:30+00:00
news-e82597489bb2c5b4,dd97a4803e2f8965,news,2026-09-24,Глава вологодского муниципалитета призвал не ходить в лес из-за медведя,,,"МОСКВА, 24 сентября. /ТАСС/. Глава Усть-Кубинского округа Вологодской области Сергей Щербаков призвал местных жителей временно отказаться от походов в лес - в районе деревни Ивановское бродит медведь, ...",ТАСС,https://tass.ru/obschestvo/28146979,2026-09-24T18:54:30+00:00
news-fa46c3047e299f59,cbba1e9ccca7588d,news,2026-09-23,«В 10 метрах от вагончика нашли»: в Красноярском крае медведь насмерть задрал работника ...,,,"В Красноярском крае медведь задрал работника местного лесничества. Хищник напал на него ночью на стоянке грузового транспорта, убил и прикопал тело. Его обнаружили охотники в 10 метрах от вагончика. З ...",Газета.Ru,https://www.gazeta.ru/social/2026/09/23/23591029.shtml,2026-09-24T18:54:30+00:00
news-248775d1fef9d8eb,8d125f1667d79d1a,news,2026-09-23,Медведь зашел на участок жителя уральского города,,,На Урале медведь забрел в город и зашел на участок местного жителя. Об этом сообщил E1.RU. Инцидент произошел 23 сентября в городе Краснотурьинске Свердловской области — медведь вышел на территорию са ...,Газета.Ru,https://www.gazeta.ru/social/news/2026/09/23/29376601.shtml,2026-09-24T18:54:30+00:00
news-a946c97f353d3a73,f561574325d925c5,news,2026-09-23,Медведь покалечил туриста из Москвы на Енисее,,,"Медведь напал на туриста из Москвы, который приехал на рыбалку на реку Большой Енисей в Тоджинский район Тувы.",Фонтанка,https://www.fontanka.ru/2026/09/24/76659113/,2026-09-24T18:54:30+00:00
news-7e424c50395ec32f,348eb9e7d9e8d84e,news,2026-09-23,"Медведи взяли в осаду российский город: «Они идут со всех сторон, бегают по дорогам и дворам. А мы ...",,,"«Ситуация действительно сложная. Отстрел медведей — вынужденная мера. Никто не занимается неконтролируемой охотой, но поставлен нелёгкий выбор: или звери, или жизни людей», — как будто оправдывается ...",Комсомольская Правда,https://www.kp.ru/daily/277818/5307333/,2026-09-24T18:54:30+00:00
news-386d0617e35c459e,f8d93fb776dbcd40,news,2026-09-23,Медведи в Сибири и на Дальнем Востоке уйдут в спячку позже обычного,,,"Кандидат биологических наук, доцент кафедры биологии Стерлитамакского филиала Уфимского университета науки и технологий Борис Чаус в интервью РИА Новости сообщил, что медведи в Сибири и на Дальнем Вос ...",Подмосковье Сегодня,https://mosregtoday.ru/news/soc/medvedi-v-sibiri-i-na-dalnem-vostoke-ujdut-v-spjachku-pozzhe-obychnogo/,2026-09-24T18:54:30+00:00
news-4b231c6807af9583,8bebbd8bdee3cd44,news,2026-09-23,"Эксперт Кропачев рассказал, что медведи по интеллекту сопоставимы с приматами",,,"Животные способны запоминать не конкретные предметы, а алгоритмы действий, например, как открыть крышку мусорного бака или ""взломать"" незапертую дверь, сообщил доцент кафедры биологии, биоресурсов ...",ТАСС,https://tass.ru/obschestvo/28145123,2026-09-24T18:54:30+00:00
news-251b456ca796b95b,e2b95261c7764441,news,2026-09-23,Где в России медведи нападали на людей и какие меры принимают регионы,,,"✅В каких регионах России с августа 2026 года зафиксировали нападения медведей на людей ✅Показываем случаи на карте и объясняем с экспертами, почему возникают конфликты с хищниками и как вести себя при ...",РБК,https://www.rbc.ru/society/15/09/2026/6aa937759a7947f752018767,2026-09-24T18:54:30+00:00
news-da917a60dc996d28,5006a04e943d16e8,news,2026-09-23,В Омской области примут меры для защиты жителей Усть-Ишимского района от медведей,,,Губернатор Омской области Виталий Хоценко поручил принять меры для обеспечения безопасности местных жителей в связи с выходом медведя в село Усть-Ишим на ...,Интерфакс,https://www.interfax.ru/russia/1118006,2026-09-24T18:54:30+00:00
news-c2082abbc0a0730d,15293cb7a84b825c,news,2026-09-23,Раскрыты подробности о растерзанном медведем россиянине,,,Медведь успел закопать тело растерзанного им мужчины в Красноярском крае и скрылся от охотников. Подробности раскрыл Telegram-канал Kras Mash ...,Lenta.ru,https://lenta.ru/news/2026/09/23/raskryty-podrobnosti-o-rasterzannom-medvedem-rossiyanine/,2026-09-24T18:54:30+00:00
news-9e982ef51eb7bfc0,cafc461346ec9711,news,2026-09-22,Медведь подкараулил сторожа в темноте и задрал: в Красноярском крае хищник убил пятого человека,,,Жуткая новость пришла утром 23 сентября из Енисейского округа – в результате нападения медведя погиб 39-летний мужчина. Об этом сообщает региональный следком. Информация пока очень и очень ...,Комсомольская Правда в Красноярске,https://www.krsk.kp.ru/daily/277818/5306512/,2026-09-24T18:54:30+00:00
news-5f4dd982100c5859,1413a943f32ef591,news,2026-09-22,Медведь убил мужчину на территории лесничества на севере Красноярского края,,,Медведь убил 39-летнего мужчину в Енисейском муниципальном округе Красноярского края. Хищник атаковал ночью 23 сентября на территории Епшинского участкового лесничества возле деревни Потапово.,Life.ru,https://life.ru/p/medved-ubil-muzhchinu-na-territorii-lesnichestva-na-severe-krasnoyarskogo-kraya,2026-09-24T18:54:30+00:00
news-64aaebd53211f67a,30e142da4c66e2f8,news,2026-09-22,Медведи охотятся на людей! Счет опасных встреч идет на сотни,,,С начала года хищники убили 15 человек в России. Медведи объявили настоящую охоту за людьми — счет опасных встреч уже идет на сотни. Сразу несколько новых случаев произошли в Сибири и на Дальнем Восто ...,Пятый канал,https://www.5-tv.ru/news/5087863/uezzajte-inenocujte-medvedi-derzat-vstrahe-dacnikov-ituristov/,2026-09-24T18:54:30+00:00
news-15f6f9020abe8a3d,9e0401b60a006c6a,news,2026-09-22,Задравший мужчину в Красноярском крае медведь был ранен охотниками,,,"КРАСНОЯРСК, 23 сентября. /ТАСС/. Убивший мужчину на севере Красноярского края медведь был ранен охотниками и убежал. Об этом ТАСС сообщили в ГСУ СК РФ по краю и Хакасии. 39-летний мужчина погиб в ночь ...",ТАСС,https://tass.ru/proisshestviya/28141513,2026-09-24T18:54:30+00:00
news-f990194efadf0627,9687bbceebb5c56b,news,2026-09-22,"В Хакасии рассказали, как один из городов оказался в «медвежьей осаде»",,,"Ночью город Абаз в Хакасии оказался в медвежьей осаде , сообщил замглавы республики Дмитрий Бученик. Тревожная ночь выдалась в Абазе. Таежный город фактически в медвежьей осаде — выходы зверей ...",РБК,https://www.rbc.ru/rbcfreenews/6ab38368b22a9af6e2f79bce,2026-09-24T18:54:30+00:00
news-77deb8af08bc0fa2,d8700810c3b7f4e4,news,2026-09-22,"Медведь убил лесозаготовителя, охранявшего технику под Енисейском",,,"По данным следствия, 39-летний член заготовительной бригады охранял технику на территории лесничества и ночью подвергся нападению хищника. Правоохранители предполагают, что сторож покинул кабину ...",Российская газета,https://rg.ru/2026/09/23/reg-sibfo/medved-ubil-lesozagotovitelia-ohraniavshego-tehniku-pod-enisejskom.html,2026-09-24T18:54:30+00:00
news-3c8e0921110e9615,f1bbd6fb213d0c53,news,2026-09-20,Два человека стали жертвами медведя в Томской области,,,Следственное управление Следственного комитета России по Томской области устанавливает обстоятельства гибели двоих жителей Колпашевского района ...,Интерфакс,https://www.interfax.ru/russia/1117195,2026-09-24T18:54:30+00:00
news-8c15007aa08da657,4922ea08b5775227,news,2026-09-19,Режим повышенной готовности объявлен в Иркутской области из-за медведей,,,"Режим повышенной готовности ввели на территории всей Иркутской области из-за участившихся случаев выхода медведей к людям, сообщил губернатор региона Игорь ...",Интерфакс,https://www.interfax.ru/russia/1117080,2026-09-24T18:54:30+00:00
news-eec8c39349110c68,014fc4b5faa4e1cb,news,2026-09-18,В Башкирии медведь загнал инспектора на дерево,,,"Сегодня инспектор заказника ""Шайтантау"" Ямиль Илембетов наткнулся в лесу на дикого зверя и вынужден был залезть на дерево.",Российская газета,https://rg.ru/2026/09/18/v-bashkirii-medved-zagnal-inspektora-na-derevo.html,2026-09-24T18:54:30+00:00
news-d2030ff253af48c4,d8334f37c67df23b,news,2026-09-17,В Иркутской области медведь убил двух сборщиков ягод,,,"В Иркутской области медведь напал на троих сборщиков ягод, погибли двое мужчин, третий спасся, сообщила пресс-служба ГУ МВД по региону ...",Интерфакс,https://www.interfax.ru/russia/1116590,2026-09-24T18:54:30+00:00
news-f9d7ce56fda8a237,82a0285646ce9995,news,2026-09-17,В Иркутской области расширили режим повышенной готовности из-за медведей,,,"В Иркутской области режим повышенной готовности из-за выхода медведей к людям объявлен еще в нескольких муниципалитетах, сообщил губернатор региона Игорь ...",Интерфакс,https://www.interfax.ru/russia/1116604,2026-09-24T18:54:30+00:00
news-5d005be0d7a05ac9,228476a47984b6bd,news,2026-09-17,Медведь убил двух сборщиков ягод в Иркутской области,,,Группа сборщиков ягод подверглась нападению медведя в Иркутской области. Два человека погибли. Их товарищ сбежал от хищника. На месте ЧП работают сотрудники МВД и охотники.,Российская газета,https://rg.ru/2026/09/17/reg-sibfo/dvoe-muzhchin-pogibli-pri-napadenii-medvedia-v-priangare-odnomu-udalos-spastis.html,2026-09-24T18:54:30+00:00
index-4ea4a9fa77186135,39ee586fe3db7795,indexed,2026-09-24,Медведь напал на охотника в Вологодской области,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",BFM.ru,https://news.google.com/rss/articles/CBMiSkFVX3lxTE9RZVh6bEhmNzFsMVVnSTRDbGpScm82NkdWY2lrQTRMM3dCeEpkaVB5Qk5xNzU5QmVLbmJ0MnpaR0p6S29WTy1WaXRB0gFKQVVfeXFMT1FlWHpsSGY3MWwxVWdJNENsalJybzY2R1ZjaWtBNEwzd0J4SmRpUHlCTnE3NTlCZUtuYnQyelpHSnpLb1ZPLVZpdEE?oc=5,2026-09-24T18:54:30+00:00
index-9c9b0a96d0c8973e,e6851065dd8a500c,indexed,2026-09-24,"Сплавились по реке, везли еду для отшельников. Подробности нападения медведя на москвича",,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",ФОНТАНКА.ру,https://news.google.com/rss/articles/CBMiV0FVX3lxTE43QTFiaVlnZW9raWJyU0J4b0RfTkp0dGZBVlBlUEFaaFF0cTNzdVZIMW5GdDlmZWVNMlpZVm1Fc3U3RzBCVlBES29IcTdURkhCNFdXRGZJbw?oc=5,2026-09-24T18:54:30+00:00
index-ea9168ec20a04267,7ca7239e0dbc6c6d,indexed,2026-09-24,В Туве турист из Москвы погиб после нападения медведя,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Интерфакс,https://news.google.com/rss/articles/CBMiT0FVX3lxTE5QR0ZfWTR2NHIwNVRZcGR6TW1LUk9zZVF4X0ZqdTlDalQyenNSSFc5aXpTTTBVUDJrSXdNVHlqaW1CNFdOMkplbWFXZXU4RUnSAUtBVV95cUxNVjZxU0t5ekVMRVYyY3hVdC1tT1J2RzNqTU5GQXIwbndjMWNCd2EtMUJoSEJ5c2JmblVDeURwVW9ocGY4Q3RyaWpXQUU?oc=5,2026-09-24T18:54:30+00:00
index-3db067085f54bfad,a82ae1ce60856e8d,indexed,2026-09-24,В Туве погиб отец игрока НХЛ Александр Кузьменко после нападения медведя,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Эксперт,https://news.google.com/rss/articles/CBMingFBVV95cUxOYmxLM0Itc3pVUkM5blI2cVdmcl9ZYlhNMS1hQ0N4TE9pdU1tR3FMVmtMT0t3WUxPZUJwT0I3Z0lrOXl1YmtHbjU5M2JoUWlJV2RfZlR5Si0tbGxkNEdDMU5hR0VNTXRKRVh0RTJhcmJ3U1pMMkhSZmd5VFRLNW96cnItcVlDZU1XWDBmU2piclRSSlJSUTMzdXlhRlhHZw?oc=5,2026-09-24T18:54:30+00:00
index-59b722bd52bef175,bf8a21f736caf029,indexed,2026-09-24,В Туве умер пострадавший от нападения медведя москвич,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",BFM.ru,https://news.google.com/rss/articles/CBMiSkFVX3lxTE5hN0N5WnJ2WFMzRlVPb2xmQnh6aDRzREtwRTh5b21pcEtMREkxbVBiSDJGR2lMTEhIZ0xnRW9EWFZ1b21WVXJCQTlR0gFKQVVfeXFMTmE3Q3lacnZYUzNGVU9vbGZCeHpoNHNES3BFOHlvbWlwS0xESTFtUGJIMkZHaUxMSEhnTGdFb0RYVnVvbVZVckJBOVE?oc=5,2026-09-24T18:54:30+00:00
index-d255b9c6b957e830,c28fec28b9aef28a,indexed,2026-09-24,Отец российского игрока НХЛ погиб после нападения медведя,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Наука Mail,https://news.google.com/rss/articles/CBMimwFBVV95cUxPYll4eHE5THM3bmJOanh0a0F6Q1JUUVlfOXpnM2xScVdwNXFBLWViLW9EeW1OSTd1WWdTRUlXMTAwQVkxbl9GMnpicE9zd3M1dEJkTXZWWHh1MV9JYTNwMUhyS0RYc05rT2ZjWVFxcEYza0tBRl9rbF9ZSFRtYU5UTS1IeFp5dGFHaGltSThhNGhwYktJS3Jkam9MTQ?oc=5,2026-09-24T18:54:30+00:00
index-2b818043459ed939,3dd0b2df29c3b3b5,indexed,2026-09-24,Отец звезды НХЛ погиб после нападения медведя на рыбалке в Туве,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",RTVI,https://news.google.com/rss/articles/CBMikwFBVV95cUxQc0gyekppMlZMS0FhSURTQUZGWHhaR0RJd0FMTUVOVFlBcm80b1h3MHRDZzI4aUNiVW1UOEI2bEJhV2hQQkxVUWp6elc4eUpEamhaVXZ4TUtvaXp0MS1DdHBaa3QteXJ4YzdVcXBBVlZKWFFYcnZHczZOTHlNUVZFVUhvdzhyQXRYU285UlVvbmVGMU0?oc=5,2026-09-24T18:54:30+00:00
index-ca1001c4be7bb8dc,ca46897c3201f858,indexed,2026-09-24,В Вологодской области 73-летнего охотника растерзал медведь,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",cherinfo.ru,https://news.google.com/rss/articles/CBMilAFBVV95cUxQMkZoSjh2TFEydlc1d0MyNWcxS2RnWXNPMkZhMmNsYkN6RnptOWxWbTlfY1FES3BpdWw1ZE9rQlBCWUZvdW54ejJvc3hwY3MzdVhTTGNXTXpOVm1QSkFYNUtGNVo5RFFjWGtaRE5iU3ZWUUZYU1hZZmw0bzRXOGtDZlBaV0VPWGR1UDhtTi13RlpaVmI3?oc=5,2026-09-24T18:54:30+00:00
index-83b17d2e81e80ffe,8d830d9617ee2259,indexed,2026-09-24,Более десятка нападений медведей на скот зафиксировано в Туве,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Интерфакс Россия,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOb0FHeWk2NE5zY1g3N0QxeTJHMldNWDdJbU1fdzh4LW9IbDlncFAycHNEQTRuT2NXV0IyaGxTakVKVWkzU2JnYUI4cUtCQS1sQ3BFcEdiZnIwYVd0MVBNU0Nicm5uamtrb1pUUnV0cjdOUERwcUZtQnpsZ1QtemtDeExub3AtZXJ2bVpwQlVoOGdhMnFjTS1CcEcyeGw5bGJKWWg0dFFZN1ZoZw?oc=5,2026-09-24T18:54:30+00:00
index-85de7585d4e87e6a,4d58e87be71de6e0,indexed,2026-09-24,"Рыбалка, несмотря на запреты: в Туве медведь напал на туриста из Москвы, мужчина умер в больнице",,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",47news.ru,https://news.google.com/rss/articles/CBMiSkFVX3lxTE1PTmwwV3J6MkVCZ0xkVXlkd0tOa1VnNEg4R1RHb280R1lFQ3JnWjZFeFdDSEVDUTdkTjJuVUpDa1piS05JTjBIRmRn?oc=5,2026-09-24T18:54:30+00:00
index-bbd2a539936f5934,a0fbf504e1efd80c,indexed,2026-09-24,В Туве медведь напал на туриста из Москвы 24 сентября 2026 года,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Росбалт,https://news.google.com/rss/articles/CBMikAFBVV95cUxPVEVOOVdVMERGSldwZE5yRFFnaFJ1RjlUVDQ0UDg1TjE5S1E2NjNKQjVMSE5uU1ltS01HUG1kSUgzd245RHY4dW1MRkFING5yYlBKVjB2MlMxNHVrTmpDRTV1T05KNG1VaGFVdGpSTUdfeDJ6X28zT1RpaGFXYkduTjV5STd0MG1DM2RNanFack8?oc=5,2026-09-24T18:54:30+00:00
index-b98ff9e89ea38152,a3fac3a5ec20f664,indexed,2026-09-24,Тренер по хоккею из Якутии погиб после нападения медведя в Тыве,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",ЯСИА,https://news.google.com/rss/articles/CBMijAFBVV95cUxORFBtMXY3SGlocm41T0E3X2lqOHRyM2xWeGVWRDNpQXMwUllCdDFISEMyWnE3S3Y5VWJHbjdadE5RTTFKSmlndTZCaDAyNGtoZWdwb1BaLV8xZUpFV0QxT2FPNklJeEpaZENJTGV6WFFVU2Q1MlZZVkxQZS1qbHV1bGthY1pycWhJQzJxUw?oc=5,2026-09-24T18:54:30+00:00
index-35d907ecc33e6e80,179112a9f6ea41c6,indexed,2026-09-24,Из-за нападения медведя на Енисее погиб тренер — отец хоккеиста НХЛ Кузьменко,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",ФОНТАНКА.ру,https://news.google.com/rss/articles/CBMiV0FVX3lxTFBXd29KQmc3akhHRFBNOTROa2FmSG9CVmVqMkQ1NUtQUk5xOXdTWGtDbDQ4cVRSUElRMGRGX0xWbVJ5Tm43N2hsbjBPeFRnOXY4UVpaM05JSQ?oc=5,2026-09-24T18:54:30+00:00
index-751409e44c0f4ed8,01e0a60621015c2d,indexed,2026-09-24,Медведь напал на охотника в лесу в Вологодской области,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",ФедералПресс,https://news.google.com/rss/articles/CBMiWEFVX3lxTE0yaC0tYzZNQkwxVWpvYU1GcEM2cEItWW5zQy1UVjk3ako5TVEwSzRTOXpxWGE2a3lCXzJlZ3k3OEtjNV9XRW9oYlVKdXBTZzBuLTNHWHJpTW0?oc=5,2026-09-24T18:54:30+00:00
index-3802ac6e7a1b2fc9,b267122cf630a52e,indexed,2026-09-24,Турист из Москвы нарушил несколько запретов и погиб в Туве от лап медведя - Версия,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",versia.ru,https://news.google.com/rss/articles/CBMinAFBVV95cUxNRjJFY1ZLZWFwRWpVSXpNb1k3OXQ3U1RoUUV0dFFyQU5fNU1XOVVCc21vQnFZTTVJMS11VXhuZUd4eXA0UFJtU25pUk5xWlFTT3JaX2VsVjI3MlZNY1dtcS00VnJZSFlwMk4wb3VBMHF1UnZmU1RiWG9DYkc0NC1hQkNhVVhMUlBpekoyVGUwRHdMNlRqNkh6UVlqVFnSAZwBQVVfeXFMTUYyRWNWS2VhcEVqVUl6TW9ZNzl0N1NUaFFFdHRRckFOXzVNVzlVQnNtb0JxWU01STEtdVV4bmVHeHlwNFBSbVNuaVJOcVpRU09yWl9lbFYyNzJWTWNXbXEtNFZyWUhZcDJOMG91QTBxdVJ2ZlNUYlhvQ2JHNDQtYUJDYVVYTFJQaXpKMlRlMER3TDZUajZIelFZalRZ?oc=5,2026-09-24T18:54:30+00:00
